Code client ou identifiant client,Centre de cout,Prénom,Nom,Sexe,Titre,Nom,C/O,Rue,Code Postal,Ville,Pays,Nation,Téléphone,E-mail,Date de création compte VEL,Date de création compte jeff club,Date de dernière connexion VEL,Date de dernière connexion jeff club,inscription newsletter VEL,inscription newsletter jeff club,Date de naissance,Code client du magasin préféré pour les clients Jeff club,Email vérifier (Seulement pour les comptes VEL),Compte bloqué ?,Raison du blocage du compte
662371,JC,Honorato,Simone,H,mr,,,21 rue notre dame,62124,BEAUMETZ LES CAMBRAI,France,France,,sdugue+25@clever-age.com,,2020-09-21 22:37:14,,2020-09-21 22:41:20,0,1,1984-04-21,C6213,1,0,
662372,VEL,Reece,Amethyst,,,,,Le Jaonnet liaubou bas,24250,NABIRAT,France,France,652237767,sdugue+26@clever-age.com,2020-09-21 23:09:13,,2020-09-21 23:22:05,,1,0,1970-02-07,,1,0,
662373,VEL,Forrest,Rafael,,,,,Le Jaonnet liaubou bas,24250,NABIRAT,France,France,553311696,sdugue+27@clever-age.com,2020-09-21 23:14:28,,2020-09-21 23:14:28,,1,0,1970-02-07,,0,0,
662374,VEL,Ignatius,Galvin,,,,,40 rue de la division Leclerc,78830,BONNELLES,France,France,619364092,sdugue+28@clever-age.com,2020-09-21 23:29:07,,2020-09-21 23:29:52,,0,0,1987-09-01,,1,0,
662375,JC,Uriah,Noelle,F,ms,,,,,,,,,sdugue+29@clever-age.com,,2020-09-22 00:00:07,,2020-09-22 00:17:06,0,1,2020-03-06,LG6201,1,0,
662376,VEL,Amal,Dominique,,,,,Hotel Martinez 73 Boulevard de la Croisette,6400,CANNES,France,France,861208059,sdugue+30@clever-age.com,2020-09-22 00:15:04,,2020-09-22 00:55:15,,1,0,1999-07-31,,1,0,
662378,JC,Davis,Michael,F,ms,,,,,,,,,sdugue+31@clever-age.com,,2020-09-22 01:32:05,,2020-09-22 03:04:20,0,1,2020-07-31,CM6905,1,0,
662380,VEL,Branden,Winifred,,,,,15 Rue Raspail,94700,MAISONS-ALFORT,France,France,676143013,sdugue+32@clever-age.com,2020-09-22 03:59:08,,2020-09-22 03:59:54,,0,0,2020-09-27,,1,0,
662381,JC,Phillip,Irma,F,ms,,,,,,,,,sdugue+33@clever-age.com,,2020-09-22 04:04:18,,2020-09-22 04:04:19,0,0,1997-01-05,CM6903,1,0,
662382,VEL,Eaton,Garrison,,,,CSE SCHRADER,48 RUE DE SALINS BP 29,25301,PONTARLIER CEDEX,France,France,630086267,sdugue+34@clever-age.com,2020-09-22 08:02:36,,2020-09-22 08:08:39,,0,0,1960-06-01,,1,0,
662383,VEL+JC,Hugues,Linus,H,mr,,,4 Venelle du Labas,65000,TARBES,France,France,33664484606,sdugue+35@clever-age.com,2020-09-22 08:16:15,2020-09-22 08:04:37,2020-09-22 08:16:23,2020-09-22 08:04:38,0,0,1982-07-14,C2803,1,0,
662384,VEL,Uriah,Sonia,,,,,29 RUE DU 24 MARS 1852,69009,LYON,France,France,663826961,sdugue+36@clever-age.com,2020-09-22 08:09:09,,2020-09-22 08:13:49,,0,0,1977-04-20,,1,0,
662385,JC,Hamilton,Ariel,F,mm,,,,,,,,,sdugue+37@clever-age.com,,2020-09-22 08:17:02,,2020-09-22 08:17:03,0,1,2020-09-22,LG7501,1,0,
